cuisines,dietary,menus.amountMax
American,vegan,6.911919642857144
American,vegetarian,8.798045977011496
Chinese,vegan,8.564539007092195
Chinese,vegetarian,69.42171764705894
Indian,vegan,6.11785714285714
Indian,vegetarian,7.44243727598558
Italian,vegan,6.5
Italian,vegetarian,22.35155913978494
Korean,vegan,13.311643835616438
Korean,vegetarian,10.333333333333334
Kosher,vegan,7.29262839879154
Kosher,vegetarian,6.750592105263162
Mediterranean,vegan,5.872608695652173
Mediterranean,vegetarian,13.496407506702395
Mexican,vegan,3.916999999999999
Mexican,vegetarian,7.666050420168072
Middle Eastern,vegan,9.394736842105264
Middle Eastern,vegetarian,7.408882521489945
Thai,vegan,12.95
Thai,vegetarian,6.097560975609753
Vietnamese,vegan,6.687499999999995
Vietnamese,vegetarian,7.750000000000001
